taskid,reviewerid,groupid,grade
22,105,65,8
22,106,13,9
22,106,48,9
22,107,58,5
22,107,70,7
22,109,47,9
22,109,71,6
22,110,10,8
22,110,13,9
22,112,53,6
22,112,69,6
22,113,51,7
22,113,70,7
22,114,43,8
22,114,76,6
22,115,2,9
22,115,57,9
22,116,29,7
22,116,36,10
22,117,11,5
22,117,59,4
22,118,20,10
22,118,65,6
22,119,9,9
22,119,28,7
22,120,20,10
22,120,29,8
22,122,32,8
22,122,61,9
22,123,68,10
22,123,71,9
22,124,18,9
22,124,28,6
22,125,18,10
22,125,40,9
22,126,8,6
22,126,47,9
22,127,20,10
22,127,25,10
22,128,66,10
22,128,78,9
22,129,27,10
22,129,28,9
22,130,48,10
22,130,73,6
22,131,3,6
22,131,57,8
22,132,51,10
22,132,79,7
22,133,59,4
22,133,79,6
22,135,12,9
22,135,61,8
22,136,1,10
22,136,38,6
22,137,1,10
22,137,73,6
22,138,41,6
22,138,67,10
22,139,17,10
22,139,75,8
22,140,31,5
22,140,73,6
22,141,33,6
22,141,45,6
22,142,15,8
22,142,16,6
22,143,2,10
22,143,76,8
22,144,38,7
22,144,58,10
22,146,9,8
22,146,72,10
22,147,38,6
22,147,75,9
22,148,23,10
22,148,47,9
22,149,17,8
22,149,41,8
22,150,21,8
22,150,24,1
22,151,6,5
22,151,35,10
22,152,4,5
22,152,24,2
22,153,5,10
22,153,25,9
22,154,59,2
22,154,61,10
22,155,8,6
22,155,41,8
22,156,33,7
22,156,45,7
22,157,5,10
22,157,57,9
22,158,37,7
22,158,47,6
22,159,42,8
22,159,64,8
22,160,4,5
22,160,73,6
22,161,43,7
22,161,74,5
22,162,27,10
22,162,46,10
22,163,5,9
22,163,64,7
22,164,19,10
22,164,41,8
22,166,15,5
22,166,60,10
22,168,28,8
22,168,30,9
22,169,25,9
22,169,70,0
22,170,14,8
22,170,76,6
22,171,4,6
22,171,47,6
22,172,40,8
22,172,67,10
22,173,69,7
22,173,71,6
22,174,10,8
22,174,68,10
22,175,22,6
22,175,64,6
22,176,14,9
22,176,55,5
22,177,31,6
22,177,53,8
22,178,44,8
22,178,72,10
22,179,14,7
22,179,33,6
22,180,40,10
22,180,77,10
22,181,53,6
22,181,78,8
22,182,40,8
22,182,42,7
22,183,32,7
22,183,67,10
22,184,35,10
22,184,66,10
22,185,23,8
22,185,63,10
22,186,22,7
22,186,44,9
22,187,17,7
22,187,28,7
22,188,32,4
22,188,52,7
22,189,6,6
22,189,69,9
22,190,24,1
22,190,37,6
22,192,35,8
22,192,51,10
22,193,8,7
22,193,14,9
22,194,19,9
22,194,74,6
22,195,26,8
22,195,48,10
22,196,7,5
22,196,51,8
22,197,13,10
22,197,60,10
22,198,23,9
22,198,63,9
22,199,22,7
22,199,39,5
22,200,21,7
22,200,42,8
22,201,76,6
